well_name,vz_thickness_m
AW1D,1.33
AW1O,1.385
AW1S,1.41
AW2D,0.485
AW2O,0.485
AW2S,0.415
AW5D,0.27
AW5O,-0.02
AW5S,0.03
AW6D,1.025
AW6O,1.245
AW6S,1.06
AW7D,1.365
AW7O,1.635
AW7S,1.245
BW1D,0.554
BW1F,0.357
BW1S,0.16
BW10D,0.32
BW10S,0.12
BW11D,0.5
BW11S,0.62
BW2D,1.475
BW2S,1.725
BW3D,2.855
BW3S,2.42
BW4D,1.1
BW4S,1.105
BW5D,0.22
BW5S,0.36
BW6D,4.075
BW6S,3.88
BW7D,3.13
BW7S,3.25
BW8D,1.12
BW8S,1.195
BW9D,1.39
BW9S,1.17
LRS33D,1.71
LRS33S,1.43
LRS65D,1.25
LRS65S,1.03
LRS69D,1.8
LRS69O,1.83
LRS69S,1.695
LRS70D,0.46
LRS70S,0.635
LRS75D,1.11
LRS75S,0.92
LRS79D,0.37
LRS79S,0.32
LRS81D,0.955
LRS81S,0.61
LRS89D,1
LRS89S,0.805
LRS90D,0.34
LRS90S,0.305
